date,destination_id,destination,domestic_visitors,international_visitors,visitors,log1p_visitors,split,is_zero_day,data_quality_flag
2022-11-01,7,Lăng vua Minh Mạng,0,0,0,0.0000000000,train,True,observed_complete
2022-11-02,7,Lăng vua Minh Mạng,0,0,0,0.0000000000,train,True,observed_complete
2022-11-03,7,Lăng vua Minh Mạng,0,0,0,0.0000000000,train,True,observed_complete
2022-11-04,7,Lăng vua Minh Mạng,0,0,0,0.0000000000,train,True,observed_complete
2022-11-05,7,Lăng vua Minh Mạng,0,0,0,0.0000000000,train,True,observed_complete
2022-11-06,7,Lăng vua Minh Mạng,0,0,0,0.0000000000,train,True,observed_complete
2022-11-07,7,Lăng vua Minh Mạng,0,0,0,0.0000000000,train,True,observed_complete
2022-11-08,7,Lăng vua Minh Mạng,0,0,0,0.0000000000,train,True,observed_complete
2022-11-09,7,Lăng vua Minh Mạng,0,0,0,0.0000000000,train,True,observed_complete
2022-11-10,7,Lăng vua Minh Mạng,52,49,101,4.6249728133,train,False,observed_complete
2022-11-11,7,Lăng vua Minh Mạng,53,43,96,4.5747109785,train,False,observed_complete
2022-11-12,7,Lăng vua Minh Mạng,158,88,246,5.5093883366,train,False,observed_complete
2022-11-13,7,Lăng vua Minh Mạng,183,116,299,5.7037824747,train,False,observed_complete
2022-11-14,7,Lăng vua Minh Mạng,45,101,146,4.9904325868,train,False,observed_complete
2022-11-15,7,Lăng vua Minh Mạng,48,66,114,4.7449321284,train,False,observed_complete
2022-11-16,7,Lăng vua Minh Mạng,15,13,28,3.3672958300,train,False,observed_complete
2022-11-17,7,Lăng vua Minh Mạng,37,85,122,4.8121843554,train,False,observed_complete
2022-11-18,7,Lăng vua Minh Mạng,179,93,272,5.6094717952,train,False,observed_complete
2022-11-19,7,Lăng vua Minh Mạng,107,228,335,5.8171111600,train,False,observed_complete
2022-11-20,7,Lăng vua Minh Mạng,159,194,353,5.8692969131,train,False,observed_complete
2022-11-21,7,Lăng vua Minh Mạng,89,140,229,5.4380793089,train,False,observed_complete
2022-11-22,7,Lăng vua Minh Mạng,120,106,226,5.4249500175,train,False,observed_complete
2022-11-23,7,Lăng vua Minh Mạng,132,213,345,5.8464387751,train,False,observed_complete
2022-11-24,7,Lăng vua Minh Mạng,97,220,317,5.7620513828,train,False,observed_complete
2022-11-25,7,Lăng vua Minh Mạng,210,223,433,6.0730445341,train,False,observed_complete
2022-11-26,7,Lăng vua Minh Mạng,109,216,325,5.7868973814,train,False,observed_complete
2022-11-27,7,Lăng vua Minh Mạng,119,180,299,5.7037824747,train,False,observed_complete
2022-11-28,7,Lăng vua Minh Mạng,90,166,256,5.5490760849,train,False,observed_complete
2022-11-29,7,Lăng vua Minh Mạng,68,141,209,5.3471075307,train,False,observed_complete
2022-11-30,7,Lăng vua Minh Mạng,119,110,229,5.4380793089,train,False,observed_complete
2022-12-01,7,Lăng vua Minh Mạng,133,227,360,5.8888779583,train,False,observed_complete
2022-12-02,7,Lăng vua Minh Mạng,50,91,141,4.9558270576,train,False,observed_complete
2022-12-03,7,Lăng vua Minh Mạng,41,109,150,5.0172798368,train,False,observed_complete
2022-12-04,7,Lăng vua Minh Mạng,173,225,398,5.9889614169,train,False,observed_complete
2022-12-05,7,Lăng vua Minh Mạng,63,126,189,5.2470240722,train,False,observed_complete
2022-12-06,7,Lăng vua Minh Mạng,144,142,286,5.6594822158,train,False,observed_complete
2022-12-07,7,Lăng vua Minh Mạng,93,185,278,5.6312117818,train,False,observed_complete
2022-12-08,7,Lăng vua Minh Mạng,67,98,165,5.1119877884,train,False,observed_complete
2022-12-09,7,Lăng vua Minh Mạng,84,120,204,5.3230099791,train,False,observed_complete
2022-12-10,7,Lăng vua Minh Mạng,67,90,157,5.0625950330,train,False,observed_complete
2022-12-11,7,Lăng vua Minh Mạng,254,149,403,6.0014148780,train,False,observed_complete
2022-12-12,7,Lăng vua Minh Mạng,138,203,341,5.8348107371,train,False,observed_complete
2022-12-13,7,Lăng vua Minh Mạng,118,106,224,5.4161004022,train,False,observed_complete
2022-12-14,7,Lăng vua Minh Mạng,39,112,151,5.0238805208,train,False,observed_complete
2022-12-15,7,Lăng vua Minh Mạng,248,142,390,5.9687075600,train,False,observed_complete
2022-12-16,7,Lăng vua Minh Mạng,63,121,184,5.2203558251,train,False,observed_complete
2022-12-17,7,Lăng vua Minh Mạng,79,108,187,5.2364419628,train,False,observed_complete
2022-12-18,7,Lăng vua Minh Mạng,117,72,189,5.2470240722,train,False,observed_complete
2022-12-19,7,Lăng vua Minh Mạng,103,119,222,5.4071717715,train,False,observed_complete
2022-12-20,7,Lăng vua Minh Mạng,143,173,316,5.7589017739,train,False,observed_complete
2022-12-21,7,Lăng vua Minh Mạng,69,170,239,5.4806389233,train,False,observed_complete
2022-12-22,7,Lăng vua Minh Mạng,126,227,353,5.8692969131,train,False,observed_complete
2022-12-23,7,Lăng vua Minh Mạng,160,179,339,5.8289456176,train,False,observed_complete
2022-12-24,7,Lăng vua Minh Mạng,201,185,386,5.9584246930,train,False,observed_complete
2022-12-25,7,Lăng vua Minh Mạng,418,173,591,6.3835066349,train,False,observed_complete
2022-12-26,7,Lăng vua Minh Mạng,132,231,363,5.8971538676,train,False,observed_complete
2022-12-27,7,Lăng vua Minh Mạng,198,186,384,5.9532433343,train,False,observed_complete
2022-12-28,7,Lăng vua Minh Mạng,116,323,439,6.0867747269,train,False,observed_complete
2022-12-29,7,Lăng vua Minh Mạng,70,219,289,5.6698809230,train,False,observed_complete
2022-12-30,7,Lăng vua Minh Mạng,264,212,476,6.1675164909,train,False,observed_complete
2022-12-31,7,Lăng vua Minh Mạng,306,297,603,6.4035741979,train,False,observed_complete
2023-01-01,7,Lăng vua Minh Mạng,316,216,532,6.2785214242,train,False,observed_complete
2023-01-02,7,Lăng vua Minh Mạng,180,201,381,5.9454206086,train,False,observed_complete
2023-01-03,7,Lăng vua Minh Mạng,116,241,357,5.8805329864,train,False,observed_complete
2023-01-04,7,Lăng vua Minh Mạng,153,242,395,5.9814142113,train,False,observed_complete
2023-01-05,7,Lăng vua Minh Mạng,141,162,303,5.7170277014,train,False,observed_complete
2023-01-06,7,Lăng vua Minh Mạng,135,291,426,6.0567840132,train,False,observed_complete
2023-01-07,7,Lăng vua Minh Mạng,216,229,445,6.1003189520,train,False,observed_complete
2023-01-08,7,Lăng vua Minh Mạng,180,132,312,5.7462031905,train,False,observed_complete
2023-01-09,7,Lăng vua Minh Mạng,96,204,300,5.7071102647,train,False,observed_complete
2023-01-10,7,Lăng vua Minh Mạng,321,185,506,6.2285110036,train,False,observed_complete
