destination,site,horizon,best_model,vs_model,DM,p_value,champion_significantly_better
Lăng vua Khải Định,Khai Dinh Tomb,1,RF,ARIMAX,-1.3741510479602548,0.1711034149122962,False
Lăng vua Khải Định,Khai Dinh Tomb,1,RF,DLM,-2.0630022171549567,0.04054820629147732,True
Lăng vua Khải Định,Khai Dinh Tomb,1,RF,ETS,-1.4095570054610373,0.16039592843446562,False
Lăng vua Khải Định,Khai Dinh Tomb,1,RF,LSTM,-2.9601660364951736,0.003488915034844599,True
Lăng vua Khải Định,Khai Dinh Tomb,1,RF,SARIMAX,-2.5603206202345854,0.011278554161422937,True
Lăng vua Khải Định,Khai Dinh Tomb,1,RF,SeasonalNaive7,-3.667648447060616,0.0003221571640629056,True
Lăng vua Khải Định,Khai Dinh Tomb,1,RF,TFT,-1.8047925392552333,0.07277857308038232,False
Lăng vua Khải Định,Khai Dinh Tomb,7,TFT,ARIMAX,-1.568531920975663,0.1185132977151162,False
Lăng vua Khải Định,Khai Dinh Tomb,7,TFT,DLM,-1.6131140230913619,0.10847154706807673,False
Lăng vua Khải Định,Khai Dinh Tomb,7,TFT,ETS,-1.6035718252101956,0.1105617000655992,False
Lăng vua Khải Định,Khai Dinh Tomb,7,TFT,LSTM,-1.8559616494492204,0.06509376142138085,False
Lăng vua Khải Định,Khai Dinh Tomb,7,TFT,RF,-1.4674596816549037,0.14399616420103778,False
Lăng vua Khải Định,Khai Dinh Tomb,7,TFT,SARIMAX,-1.7391451286591018,0.08371883005062088,False
Lăng vua Khải Định,Khai Dinh Tomb,7,TFT,SeasonalNaive7,-1.6270221270390315,0.10548167151185649,False
Lăng vua Khải Định,Khai Dinh Tomb,30,TFT,ARIMAX,-2.946750030557459,0.0036364910245120074,True
Lăng vua Khải Định,Khai Dinh Tomb,30,TFT,DLM,,,False
Lăng vua Khải Định,Khai Dinh Tomb,30,TFT,ETS,-2.581993909553135,0.01061834728068046,True
Lăng vua Khải Định,Khai Dinh Tomb,30,TFT,LSTM,-3.9913716702752406,9.553144378948929e-05,True
Lăng vua Khải Định,Khai Dinh Tomb,30,TFT,RF,-12.3489593510099,8.991758511061296e-26,True
Lăng vua Khải Định,Khai Dinh Tomb,30,TFT,SARIMAX,-16.631027569327877,3.148207756239345e-38,True
Lăng vua Khải Định,Khai Dinh Tomb,30,TFT,SeasonalNaive7,,,False
Lăng vua Minh Mạng,Minh Mang Tomb,1,RF,ARIMAX,-2.797125965132403,0.005716776475482954,True
Lăng vua Minh Mạng,Minh Mang Tomb,1,RF,DLM,-1.6789812755582882,0.0948907571852144,False
Lăng vua Minh Mạng,Minh Mang Tomb,1,RF,ETS,-1.3152380234179932,0.1901028926706083,False
Lăng vua Minh Mạng,Minh Mang Tomb,1,RF,LSTM,-2.637921347582332,0.009071924169556515,True
