mean,std,ci_lo,ci_hi,n,metric,destination,model,horizon,site
260.6166625122205,0.0,260.6166625122205,260.6166625122205,10.0,MAE,Lăng vua Khải Định,ARIMAX,1,Khai Dinh Tomb
400.16579322554577,0.0,400.16579322554577,400.16579322554577,10.0,RMSE,Lăng vua Khải Định,ARIMAX,1,Khai Dinh Tomb
13.452345915075943,3.744889033148481e-15,13.45234591507594,13.452345915075947,10.0,MAPE,Lăng vua Khải Định,ARIMAX,1,Khai Dinh Tomb
436.6173280353984,0.0,436.6173280353984,436.6173280353984,10.0,MAE,Lăng vua Khải Định,ARIMAX,7,Khai Dinh Tomb
726.6326015619945,1.198364490607514e-13,726.6326015619944,726.6326015619946,10.0,RMSE,Lăng vua Khải Định,ARIMAX,7,Khai Dinh Tomb
23.173406375379294,3.744889033148481e-15,23.17340637537929,23.173406375379297,10.0,MAPE,Lăng vua Khải Định,ARIMAX,7,Khai Dinh Tomb
623.0520143892384,1.198364490607514e-13,623.0520143892383,623.0520143892385,10.0,MAE,Lăng vua Khải Định,ARIMAX,30,Khai Dinh Tomb
822.7951677671965,0.0,822.7951677671965,822.7951677671965,10.0,RMSE,Lăng vua Khải Định,ARIMAX,30,Khai Dinh Tomb
33.475080433425276,7.489778066296963e-15,33.47508043342527,33.47508043342528,10.0,MAPE,Lăng vua Khải Định,ARIMAX,30,Khai Dinh Tomb
276.3150664359613,7.294284101055736,271.0970499300301,281.5330829418925,10.0,MAE,Lăng vua Khải Định,DLM,1,Khai Dinh Tomb
399.4413112569891,13.77017975263995,389.59071807423726,409.2919044397409,10.0,RMSE,Lăng vua Khải Định,DLM,1,Khai Dinh Tomb
14.363110989454384,0.513765313121205,13.995585424655868,14.7306365542529,10.0,MAPE,Lăng vua Khải Định,DLM,1,Khai Dinh Tomb
456.23352663318474,21.64090318712133,440.75255708645244,471.71449617991703,10.0,MAE,Lăng vua Khải Định,DLM,7,Khai Dinh Tomb
678.8756883403203,20.114618953092318,664.4865567609017,693.2648199197388,10.0,RMSE,Lăng vua Khải Định,DLM,7,Khai Dinh Tomb
23.139333301852684,1.3826789393200343,22.150224373845464,24.128442229859903,10.0,MAPE,Lăng vua Khải Định,DLM,7,Khai Dinh Tomb
703.5360725989759,137.38235984787673,605.258652720822,801.8134924771298,10.0,MAE,Lăng vua Khải Định,DLM,30,Khai Dinh Tomb
907.7900102624911,129.30982507357714,815.2873338839636,1000.2926866410187,10.0,RMSE,Lăng vua Khải Định,DLM,30,Khai Dinh Tomb
34.18218034890894,6.965864033974652,29.199101406029378,39.16525929178851,10.0,MAPE,Lăng vua Khải Định,DLM,30,Khai Dinh Tomb
256.76623094188096,5.99182245303757e-14,256.7662309418809,256.766230941881,10.0,MAE,Lăng vua Khải Định,ETS,1,Khai Dinh Tomb
392.6466777997761,0.0,392.6466777997761,392.6466777997761,10.0,RMSE,Lăng vua Khải Định,ETS,1,Khai Dinh Tomb
13.280929642860752,1.8724445165742407e-15,13.28092964286075,13.280929642860754,10.0,MAPE,Lăng vua Khải Định,ETS,1,Khai Dinh Tomb
465.6059144718505,5.99182245303757e-14,465.60591447185044,465.60591447185055,10.0,MAE,Lăng vua Khải Định,ETS,7,Khai Dinh Tomb
769.611363188191,1.198364490607514e-13,769.6113631881909,769.6113631881911,10.0,RMSE,Lăng vua Khải Định,ETS,7,Khai Dinh Tomb
25.37925169444418,0.0,25.37925169444418,25.37925169444418,10.0,MAPE,Lăng vua Khải Định,ETS,7,Khai Dinh Tomb
743.6425537506018,1.198364490607514e-13,743.6425537506017,743.6425537506019,10.0,MAE,Lăng vua Khải Định,ETS,30,Khai Dinh Tomb
1001.9403878573773,1.198364490607514e-13,1001.9403878573772,1001.9403878573775,10.0,RMSE,Lăng vua Khải Định,ETS,30,Khai Dinh Tomb
42.66801645724486,7.489778066296963e-15,42.66801645724485,42.66801645724487,10.0,MAPE,Lăng vua Khải Định,ETS,30,Khai Dinh Tomb
326.2547507352219,7.467155166801288,320.91306971856403,331.5964317518797,10.0,MAE,Lăng vua Khải Định,LSTM,1,Khai Dinh Tomb
482.5224175468278,11.695823243753484,474.1557296181898,490.8891054754658,10.0,RMSE,Lăng vua Khải Định,LSTM,1,Khai Dinh Tomb
16.203100212014586,0.2282864354120877,16.039793933899087,16.366406490130085,10.0,MAPE,Lăng vua Khải Định,LSTM,1,Khai Dinh Tomb
460.22284508533056,12.377014298227959,451.36886243157676,469.07682773908437,10.0,MAE,Lăng vua Khải Định,LSTM,7,Khai Dinh Tomb
660.5603412666007,9.554258928993754,653.7256361601443,667.3950463730572,10.0,RMSE,Lăng vua Khải Định,LSTM,7,Khai Dinh Tomb
22.71954860889269,0.27601988125773175,22.52209588064489,22.91700133714049,10.0,MAPE,Lăng vua Khải Định,LSTM,7,Khai Dinh Tomb
525.354647187658,26.511910117977344,506.38916919382075,544.3201251814952,10.0,MAE,Lăng vua Khải Định,LSTM,30,Khai Dinh Tomb
693.6752193372974,31.47096511957902,671.1622471008884,716.1881915737065,10.0,RMSE,Lăng vua Khải Định,LSTM,30,Khai Dinh Tomb
25.664436596793923,0.7931809348864901,25.097029137324583,26.231844056263263,10.0,MAPE,Lăng vua Khải Định,LSTM,30,Khai Dinh Tomb
244.27033740635042,1.586055962408175,243.13574132035774,245.4049334923431,10.0,MAE,Lăng vua Khải Định,RF,1,Khai Dinh Tomb
352.0704499239296,3.00794182556195,349.91869796620267,354.2222018816565,10.0,RMSE,Lăng vua Khải Định,RF,1,Khai Dinh Tomb
12.599470249283588,0.09693641693789054,12.530126113985302,12.668814384581873,10.0,MAPE,Lăng vua Khải Định,RF,1,Khai Dinh Tomb
396.73518659875634,5.669949084475387,392.6791493645746,400.7912238329381,10.0,MAE,Lăng vua Khải Định,RF,7,Khai Dinh Tomb
629.5032578110595,12.53645168970106,620.5352205182427,638.4712951038763,10.0,RMSE,Lăng vua Khải Định,RF,7,Khai Dinh Tomb
19.18118452573041,0.24948935698336627,19.00271059124177,19.35965846021905,10.0,MAPE,Lăng vua Khải Định,RF,7,Khai Dinh Tomb
503.9843753189798,12.573659619145744,494.9897210768772,512.9790295610825,10.0,MAE,Lăng vua Khải Định,RF,30,Khai Dinh Tomb
647.5457590570466,16.21795481385672,635.9441330799473,659.1473850341458,10.0,RMSE,Lăng vua Khải Định,RF,30,Khai Dinh Tomb
24.69141451145652,0.7856281512146406,24.129409987946275,25.253419034966768,10.0,MAPE,Lăng vua Khải Định,RF,30,Khai Dinh Tomb
283.57487908332314,0.0,283.57487908332314,283.57487908332314,10.0,MAE,Lăng vua Khải Định,SARIMAX,1,Khai Dinh Tomb
408.01917787489674,0.0,408.01917787489674,408.01917787489674,10.0,RMSE,Lăng vua Khải Định,SARIMAX,1,Khai Dinh Tomb
14.89568162977763,3.744889033148481e-15,14.895681629777627,14.895681629777634,10.0,MAPE,Lăng vua Khải Định,SARIMAX,1,Khai Dinh Tomb
453.1061195820574,1.198364490607514e-13,453.10611958205726,453.1061195820575,10.0,MAE,Lăng vua Khải Định,SARIMAX,7,Khai Dinh Tomb
