destination,horizon,seed,model,MAE,rank
Lăng vua Khải Định,1,1,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,1,DLM,272.34042862785225,4.0
Lăng vua Khải Định,1,1,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,1,LSTM,310.0830997963123,6.0
Lăng vua Khải Định,1,1,RF,245.67308186598868,1.0
Lăng vua Khải Định,1,1,SARIMAX,283.57487908332314,5.0
Lăng vua Khải Định,1,1,SeasonalNaive7,444.9285714285715,8.0
Lăng vua Khải Định,1,1,TFT,357.68761262840985,7.0
Lăng vua Khải Định,1,7,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,7,DLM,282.68330444469336,4.0
Lăng vua Khải Định,1,7,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,7,LSTM,332.2373262117339,7.0
Lăng vua Khải Định,1,7,RF,243.50830645947727,1.0
Lăng vua Khải Định,1,7,SARIMAX,283.57487908332314,5.0
Lăng vua Khải Định,1,7,SeasonalNaive7,444.9285714285715,8.0
Lăng vua Khải Định,1,7,TFT,329.35917132467193,6.0
Lăng vua Khải Định,1,42,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,42,DLM,266.14012104367964,4.0
Lăng vua Khải Định,1,42,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,42,LSTM,332.409311574415,6.0
Lăng vua Khải Định,1,42,RF,244.5125617393923,1.0
Lăng vua Khải Định,1,42,SARIMAX,283.57487908332314,5.0
Lăng vua Khải Định,1,42,SeasonalNaive7,444.9285714285715,8.0
Lăng vua Khải Định,1,42,TFT,427.8414266175328,7.0
Lăng vua Khải Định,1,77,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,77,DLM,269.33221088557247,4.0
Lăng vua Khải Định,1,77,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,77,LSTM,325.6583926147933,6.0
Lăng vua Khải Định,1,77,RF,243.86551725020135,1.0
Lăng vua Khải Định,1,77,SARIMAX,283.57487908332314,5.0
Lăng vua Khải Định,1,77,SeasonalNaive7,444.9285714285715,8.0
Lăng vua Khải Định,1,77,TFT,341.63535776717885,7.0
Lăng vua Khải Định,1,99,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,99,DLM,270.1718066284075,4.0
Lăng vua Khải Định,1,99,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,99,LSTM,327.6888816273179,6.0
Lăng vua Khải Định,1,99,RF,243.11758897089717,1.0
Lăng vua Khải Định,1,99,SARIMAX,283.57487908332314,5.0
Lăng vua Khải Định,1,99,SeasonalNaive7,444.9285714285715,8.0
Lăng vua Khải Định,1,99,TFT,332.1467001899171,7.0
Lăng vua Khải Định,1,123,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,123,DLM,287.5258959039825,5.0
Lăng vua Khải Định,1,123,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,123,LSTM,331.1184288503962,7.0
Lăng vua Khải Định,1,123,RF,245.34462499406683,1.0
Lăng vua Khải Định,1,123,SARIMAX,283.57487908332314,4.0
Lăng vua Khải Định,1,123,SeasonalNaive7,444.9285714285715,8.0
Lăng vua Khải Định,1,123,TFT,328.3730758751295,6.0
Lăng vua Khải Định,1,256,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,256,DLM,283.1512983883244,5.0
Lăng vua Khải Định,1,256,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,256,LSTM,329.8893894195849,7.0
Lăng vua Khải Định,1,256,RF,246.72178241109893,1.0
Lăng vua Khải Định,1,256,SARIMAX,283.57487908332314,6.0
Lăng vua Khải Định,1,256,SeasonalNaive7,444.9285714285715,8.0
Lăng vua Khải Định,1,256,TFT,276.1831095152797,4.0
Lăng vua Khải Định,1,512,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,512,DLM,280.41984988376254,5.0
Lăng vua Khải Định,1,512,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,512,LSTM,327.974268001727,7.0
Lăng vua Khải Định,1,512,RF,241.581049090582,1.0
Lăng vua Khải Định,1,512,SARIMAX,283.57487908332314,6.0
Lăng vua Khải Định,1,512,SeasonalNaive7,444.9285714285715,8.0
Lăng vua Khải Định,1,512,TFT,273.7971117219872,4.0
Lăng vua Khải Định,1,2024,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,2024,DLM,271.08650154657903,4.0
Lăng vua Khải Định,1,2024,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,2024,LSTM,329.8064489189467,7.0
Lăng vua Khải Định,1,2024,RF,245.62667759794076,1.0
Lăng vua Khải Định,1,2024,SARIMAX,283.57487908332314,5.0
Lăng vua Khải Định,1,2024,SeasonalNaive7,444.9285714285715,8.0
Lăng vua Khải Định,1,2024,TFT,320.56971766013464,6.0
Lăng vua Khải Định,1,2025,ARIMAX,260.6166625122205,3.0
Lăng vua Khải Định,1,2025,DLM,280.29924700675866,4.0
Lăng vua Khải Định,1,2025,ETS,256.76623094188096,2.0
Lăng vua Khải Định,1,2025,LSTM,315.68196033699144,7.0
