feature,mean_abs_shap
lag_1,0.33709523432317773
lag_6,0.04106135207778588
lag_7,0.03527794936868435
lag_2,0.03391791175219809
weekday,0.027878015506833578
lag_3,0.015440943954123544
lag_14,0.010160088079868243
lag_4,0.0069784970198316
days_to_holiday,0.005960623254511452
lag_28,0.005635419827177506
day,0.004763558287270432
dayofyear,0.004145811821079767
lag_5,0.0036537551890555107
lag_21,0.0029477588691320528
is_weekend,0.0024871528747863582
month,0.0015648715313632475
holiday,0.0007761071361825296
