feature,mean_abs_shap
lag_1,0.26110598376177147
lag_7,0.03847323276019695
lag_6,0.024847918621291955
weekday,0.02168743607233804
lag_2,0.02159353622230886
lag_5,0.016007520819513104
lag_4,0.012222399633994744
lag_28,0.012147704003216424
lag_14,0.010909768551446052
lag_3,0.00761005879754154
days_to_holiday,0.0074242566392367796
dayofyear,0.005614890244528369
day,0.005298862029897925
lag_21,0.003724423838657718
is_weekend,0.002295880137046809
month,0.0012448727885518904
holiday,0.0010009749953839623
