feature,mean_abs_shap
lag_1,0.34792282522518425
lag_6,0.0608266981251401
lag_7,0.047524447117892575
lag_14,0.03212844630748537
lag_2,0.02839399773485965
weekday,0.0172930416124883
dayofyear,0.014293339105697597
lag_5,0.014203780953101508
days_to_holiday,0.012411667888796211
lag_21,0.008459904236092644
lag_4,0.008038935732980887
lag_3,0.006752608386517858
lag_28,0.005766268616799143
day,0.004392629331817588
holiday,0.0022854511630848845
month,0.0013909549262897814
is_weekend,0.0011923438261275342
